fitness: 0.0135 | erro: 73.32 | a: 2.73 | b: -1.55
fitness: 0.0137 | erro: 72.06 | a: 2.73 | b: -1.64
fitness: 0.0137 | erro: 72.06 | a: 2.73 | b: -1.64
fitness: 0.0153 | erro: 64.55 | a: 2.73 | b: -2.21
fitness: 0.0153 | erro: 64.55 | a: 2.73 | b: -2.21
fitness: 0.0164 | erro: 59.88 | a: 2.73 | b: -2.59
fitness: 0.0173 | erro: 56.64 | a: 2.73 | b: -2.87
fitness: 0.0194 | erro: 50.60 | a: 2.73 | b: -3.43
fitness: 0.0194 | erro: 50.60 | a: 2.73 | b: -3.43
fitness: 0.0799 | erro: 11.52 | a: 2.07 | b: -3.43
fitness: 0.0799 | erro: 11.52 | a: 2.07 | b: -3.43
fitness: 0.0914 | erro: 9.94 | a: 2.07 | b: -4.16
fitness: 0.0914 | erro: 9.94 | a: 2.07 | b: -4.16
fitness: 0.0914 | erro: 9.94 | a: 2.07 | b: -4.16
fitness: 0.0914 | erro: 9.94 | a: 2.07 | b: -4.16
fitness: 0.0920 | erro: 9.87 | a: 2.07 | b: -4.21
fitness: 0.0946 | erro: 9.57 | a: 2.07 | b: -4.50
fitness: 0.0946 | erro: 9.57 | a: 2.07 | b: -4.50
fitness: 0.0958 | erro: 9.44 | a: 2.07 | b: -4.77
fitness: 0.0958 | erro: 9.44 | a: 2.07 | b: -4.77
fitness: 0.0958 | erro: 9.44 | a: 2.07 | b: -4.77
fitness: 0.1228 | erro: 7.15 | a: 1.83 | b: -4.77
fitness: 0.1228 | erro: 7.15 | a: 1.83 | b: -4.77
fitness: 0.1228 | erro: 7.15 | a: 1.83 | b: -4.77
fitness: 0.1228 | erro: 7.15 | a: 1.83 | b: -4.77
fitness: 0.1388 | erro: 6.21 | a: 1.83 | b: -4.30
fitness: 0.1388 | erro: 6.21 | a: 1.83 | b: -4.30
fitness: 0.1388 | erro: 6.21 | a: 1.83 | b: -4.30
fitness: 0.1388 | erro: 6.21 | a: 1.83 | b: -4.30
fitness: 0.1469 | erro: 5.81 | a: 1.83 | b: -3.95
fitness: 0.1469 | erro: 5.81 | a: 1.83 | b: -3.95
fitness: 0.1596 | erro: 5.27 | a: 1.68 | b: -3.95
fitness: 0.1596 | erro: 5.27 | a: 1.68 | b: -3.95
fitness: 0.1596 | erro: 5.27 | a: 1.68 | b: -3.95
fitness: 0.1596 | erro: 5.27 | a: 1.68 | b: -3.95
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.1727 | erro: 4.79 | a: 1.68 | b: -3.73
fitness: 0.2034 | erro: 3.92 | a: 1.68 | b: -3.01
fitness: 0.2034 | erro: 3.92 | a: 1.68 | b: -3.01
fitness: 0.2038 | erro: 3.91 | a: 1.68 | b: -2.99
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2057 | erro: 3.86 | a: 1.68 | b: -2.85
fitness: 0.2382 | erro: 3.20 | a: 1.58 | b: -2.85
fitness: 0.2382 | erro: 3.20 | a: 1.58 | b: -2.85
fitness: 0.2382 | erro: 3.20 | a: 1.58 | b: -2.85
fitness: 0.2382 | erro: 3.20 | a: 1.58 | b: -2.85
fitness: 0.2382 | erro: 3.20 | a: 1.58 | b: -2.85
fitness: 0.2669 | erro: 2.75 | a: 1.58 | b: -2.15
fitness: 0.3196 | erro: 2.13 | a: 1.46 | b: -2.15
fitness: 0.3196 | erro: 2.13 | a: 1.46 | b: -2.15
fitness: 0.3196 | erro: 2.13 | a: 1.46 | b: -2.15
fitness: 0.3516 | erro: 1.84 | a: 1.46 | b: -1.86
fitness: 0.3516 | erro: 1.84 | a: 1.46 | b: -1.86
fitness: 0.3516 | erro: 1.84 | a: 1.46 | b: -1.86
fitness: 0.3657 | erro: 1.73 | a: 1.46 | b: -1.41
fitness: 0.3657 | erro: 1.73 | a: 1.46 | b: -1.41
fitness: 0.3657 | erro: 1.73 | a: 1.46 | b: -1.41
fitness: 0.3657 | erro: 1.73 | a: 1.46 | b: -1.41
fitness: 0.3657 | erro: 1.73 | a: 1.46 | b: -1.41
fitness: 0.4449 | erro: 1.25 | a: 1.35 | b: -1.41
fitness: 0.4449 | erro: 1.25 | a: 1.35 | b: -1.41
fitness: 0.4941 | erro: 1.02 | a: 1.35 | b: -0.97
fitness: 0.4941 | erro: 1.02 | a: 1.35 | b: -0.97
fitness: 0.4941 | erro: 1.02 | a: 1.35 | b: -0.97
fitness: 0.5449 | erro: 0.84 | a: 1.29 | b: -0.97
fitness: 0.5449 | erro: 0.84 | a: 1.29 | b: -0.97
fitness: 0.5449 | erro: 0.84 | a: 1.29 | b: -0.97
fitness: 0.5449 | erro: 0.84 | a: 1.29 | b: -0.97
fitness: 0.5616 | erro: 0.78 | a: 1.29 | b: -0.89
fitness: 0.5616 | erro: 0.78 | a: 1.29 | b: -0.89
fitness: 0.5616 | erro: 0.78 | a: 1.29 | b: -0.89
fitness: 0.5616 | erro: 0.78 | a: 1.29 | b: -0.89
fitness: 0.5839 | erro: 0.71 | a: 1.29 | b: -0.71
fitness: 0.5839 | erro: 0.71 | a: 1.29 | b: -0.71
fitness: 0.5839 | erro: 0.71 | a: 1.29 | b: -0.71
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
fitness: 0.5864 | erro: 0.71 | a: 1.29 | b: -0.67
